base_number,japanese_text,russian_translation,english_original,converb_te_copula,converb_te_no_comma,converb_i_adjective,converb_te_comma,converb_te_period,converb_i,converb_nagara,converb_tari,converbs_amount,types_of_converbs,direct_speech,connection_type_ja,connection_type_en,conjunction_original,lexis,subject,comments
5-33-1,ハリーと同い年ぐらいの男の子が数人、箒のショーウィンドウに鼻をくっつけて眺めている。,"Несколько мальчиков примерно возраста Гарри, прижавшись [te] к витрине с мётлами носами, смотрели в упор.",Several boys of about Harry’s age had their noses pressed against a window with broomsticks in it.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,ed,-,"[3 (te), (0)]",
5-33-9,磨き上げられたブロンズの観音開きの扉の両脇に、真紅と金色の制服を着て立っているのは……,"По обе стороны от полированных бронзовых двойных дверей, одетый в [te] малиново-золотую форму, стоял...","Standing beside its burnished bronze doors, wearing a uniform of scarlet and gold, was –",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,ing,-,"[(te), (2)]",
5-33-11,そちらに向かって白い石段を登りながら、ハグリッドがヒソヒソ声で言った。,"Направляясь [te] туда, поднимаясь [nagara] по белым ступеням, прошептал Хагрид.",said Hagrid quietly as they walked up the white stone steps towards him.,нет,да,нет,нет,нет,нет,да,нет,2,"ТЭ, НАГАРА",нет,образ действия,образ действия,prep,-,"[(te), (3)]",
5-33-29,ホールに通じる扉は無数にあって、これまた無数のゴブリンが、出入りする人々を案内している,"Было бесчисленное количество ведущих в холл дверей [te], то же бесчисленное количество гоблинов провожало входящих и выходящих людей.","There were too many doors to count leading off the hall, and yet more goblins were showing people in and out of these.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,фон-фигура,фон-фигура,and,-,"[(2 te), (3)]",
5-33-40,ハリーは右側の方にいるゴブリンが、まるで真っ赤に燃える石炭のような大きいルビーを山と積んで、次々に秤にかけているのを眺めていた,"Гарри наблюдал за тем, как гоблин на правой стороне складывал полностью красные, как горящие угли, большие рубины в кучки [te], один за другим клал [рубины] на весы.",Harry watched the goblin on their right weighing a pile of rubies as big as glowing coals.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,-,-,-,"[(2 te), (0)]",зависимые клаузы
5-34-5,グリップフックが口笛を吹くと、小さなトロッコがこちらに向かって元気よく線路を上がってきた。,"Крюкохват свистнул, и, направляясь [te] к ним, по рельсам быстро приехала небольшая вагонетка.",Griphook whistled and a small cart came hurtling up the tracks towards them.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,prep,-,"[3 (te), (0)]",
5-34-11(1),一度は、行く手に火が吹き出したような気がして、もしかしたらドラゴンじゃないかと身をよじって見てみたが、遅かった,"Один раз у Гарри возникло впечатление, что на пути будто вспыхивало пламя [te], “Неужто дракон?..” – он попробовал, повернувшись [te], посмотреть, но было поздно – тележка глубже и глубже уходила вниз.","Once, he thought he saw a burst of fire at the end of a passage and twisted around to see if it was a dragon, but too late",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,фон-фигура,фон-фигура,-,-,"[(3 te), (2)]",
5-34-11(2),一度は、行く手に火が吹き出したような気がして、もしかしたらドラゴンじゃないかと身をよじって見てみたが、遅かった,"Один раз у Гарри возникло впечатление, что на пути будто вспыхивало пламя [te], “Неужто дракон?..” – он попробовал, повернувшись [te], посмотреть, но было поздно – тележка глубже и глубже уходила вниз.","Once, he thought he saw a burst of fire at the end of a passage and twisted around to see if it was a dragon, but too late",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[(2 te), (0)]",
5-34-35,一行はさらに深く、さらにスピードを増して潜っていった。,"Компания ещё более глубоко [i], ещё более набирая [te] скорость пошла.",They were going even deeper now and gathering speed.,нет,да,нет,нет,нет,да,нет,нет,2,"И, ТЭ",нет,образ действия,образ действия,and,повтор,"[2 (te), (0)]",
5-34-37(1),ハリーは身を乗り出して暗い谷底に何があるのかとのぞき込んだが、ハグリッドはうめき声を上げてハリーの襟首をつかみ引き戻した。,"Гарри наклонился [te] вперёд, чтобы посмотреть, что находится в темной долине внизу, но Хагрид зарычал [te] и, схватив [i] его за воротник, потянул назад.",Harry leant over the side to try and see what was down at the dark bottom but Hagrid groaned and pulled him back by the scruff of his neck.,нет,да,нет,нет,нет,да,нет,нет,2,"ТЭ, И",нет,последовательность действий,последовательность действий,to,-,"[(3 te), (0)]",
5-34-37(2),ハリーは身を乗り出して暗い谷底に何があるのかとのぞき込んだが、ハグリッドはうめき声を上げてハリーの襟首をつかみ引き戻した。,"Гарри наклонился [te] вперёд, чтобы посмотреть, что находится в темной долине внизу, но Хагрид зарычал [te] и, схватив [i] его за воротник, потянул назад.",Harry leant over the side to try and see what was down at the dark bottom but Hagrid groaned and pulled him back by the scruff of his neck.,нет,да,нет,нет,нет,да,нет,нет,2,"ТЭ, И",нет,последовательность действий,последовательность действий,and,-,"[(2 te), (0)]",
5-34-43,ハグリッドは胸を張って、重々しく言った,"Хагрид выпятил грудь[te], сказал серьёзно.","said Hagrid importantly, throwing out his chest.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,ing,-,"[2 (te), (0)]",
5-34-45,グリンゴッツのゴブリン以外の者がこれをやりますと、扉に吸い込まれて、中に閉じ込められてしまいます,"Если это сделает кто-то, кроме гоблина из Гринготтса, [он] будет втянут дверью [te], заперт внутри,","If anyone but a Gringotts goblin tried that, they’d be sucked through the door and trapped in there",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,да,последовательность действий,последовательность действий,and,-,"[3 (te), (0)]",
5-34-48,ハリーは期待して身を乗り出した。少なくともまばゆい宝石か何かが……。,"Гарри, ожидая [te], наклонился вперед. По крайней мере, какие-нибудь ослепительные драгоценности или что-то такое…","he leant forward eagerly, expecting to see fabulous jewels at the very least",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,adv,-,"[2 (te), (0)]",
5-35-3,もう一度猛烈なトロッコを乗りこなして、陽の光にパチクリしながら二人はグリンゴッツの外に出た,"[Они] ещё раз поуправляли бешеной тележкой [te], моргая от солнечного света [nagara], они вышли из Гринготтса.",One wild cart-ride later they stood blinking in the sunlight outside Gringotts,нет,нет,нет,да,нет,нет,да,нет,2,"ТЭ, НАГАРА",нет,последовательность действий,последовательность действий,later,-,"[2 (te), (0)]",
5-35-4,バッグいっぱいのお金を持って、まず最初にどこに行こうかとハリーは迷った,"[Он] держал сумку, полную денег [te], сомневался, куда пойти в первую очередь.",Harry didn’t know where to run first now that he had a bag full of money.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,образ действия,последовательность действий,now that,-,"[2 (te), (0)]",
5-35-20,マダム・マルキンはハリーをその隣の踏台に立たせ、頭から長いローブを着せかけ、丈を合わせてピンで留めはじめた。,"Мадам Малкин поставила [i] Гарри на табурет рядом с собой и начала натягивать [i] ему через голову длинную мантию, поправляя [te] длину и закрепляя ее булавками.","Madam Malkin stood Harry on a stool next to him, slipped a long robe over his head and began to pin it to the right length.",нет,да,нет,нет,нет,2,нет,нет,3,"И, И, ТЭ",нет,образ действия,образ действия,prep,-,"[2 (te), (0)]",
5-35-23,これから、二人を引っぱって競技用の箒を見に行くんだ,"‘Затем, потащив их [te], пойду смотреть на гоночные метлы.’",Then I’m going to drag them off to look at racing brooms,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,to,-,"[2 (te), (0)]",
5-35-26(1),父を脅して一本買わせて、こっそり持ち込んでやる,"[Я] запугаю отца [te], заставлю [его] купить [мне] одну [метлу] [te], в тайне возьму [её] себе.",I think I’ll bully father into getting me one and I’ll smuggle it in somehow.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,да,последовательность действий,последовательность действий,prep,-,"[2 (te), (0)]",
5-35-26(2),父を脅して一本買わせて、こっそり持ち込んでやる,"[Я] запугаю отца [te], заставлю [его] купить [мне] одну [метлу] [te], в тайне возьму [её] себе.",I think I’ll bully father into getting me one and I’ll smuggle it in somehow.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,да,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
5-35-44,ハリーの方を見てニッコリしながら、手に持った二本の大きなアイスクリームを指さし、これがあるから店の中には入れないよ、という手振りをしていた。,"[Хагрид], смотря на Гарри [te] и ухмыляясь [nagara], указал [i] на два больших мороженых в руке Гарри и жестом дал понять, что это означает, что он не может войти в магазин.","Hagrid was standing there, grinning at Harry and pointing at two large ice-creams to show he couldn’t come in.",нет,да,нет,нет,нет,да,да,нет,3,"ТЭ, НАГАРА, И",нет,образ действия,образ действия,ing,-,"[2 (te), (0)]",
5-36-1(1),学校の領地内のほったて小屋に住んでいて、しょっちゅう酔っ払って、魔法を使おうとして、自分のベッドに火をつけるんだそうだ,"Живёт в хижине на территории школы [te], то и дело напивается [te], пытается использовать магию [te], [но в итоге] поджигает свою кровать.","I heard he’s a sort of savage – lives in a hut in the school grounds and every now and then he gets drunk, tries to do magic and ends up setting fire to his bed.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
5-36-1(2),学校の領地内のほったて小屋に住んでいて、しょっちゅう酔っ払って、魔法を使おうとして、自分のベッドに火をつけるんだそうだ,"Живёт в хижине на территории школы [te], то и дело напивается [te], пытается использовать магию [te], [но в итоге] поджигает свою кровать.","I heard he’s a sort of savage – lives in a hut in the school grounds and every now and then he gets drunk, tries to do magic and ends up setting fire to his bed.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,запятая,-,"[2 (te), (0)]",
5-36-1(3),学校の領地内のほったて小屋に住んでいて、しょっちゅう酔っ払って、魔法を使おうとして、自分のベッドに火をつけるんだそうだ,"Живёт в хижине на территории школы [te], то и дело напивается [te], пытается использовать магию [te], [но в итоге] поджигает свою кровать.","I heard he’s a sort of savage – lives in a hut in the school grounds and every now and then he gets drunk, tries to do magic and ends up setting fire to his bed.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
5-36-19,店を出て、ハグリッドが持ってきたアイスクリームを食べながら（ナッツ入りのチョコレートとラズベリーアイスだ）、ハリーは黙りこくっていた,"[Они] вышли из магазина [te], пока [Гарри] ел [nagara] принесённое Хагридом мороженое (шоколадно-ванильное с орехами), он молчал.",Harry was rather quiet as he ate the ice-cream Hagrid had bought him (chocolate and raspberry with chopped nuts),нет,нет,нет,да,нет,да,нет,нет,2,"ТЭ, НАГАРА",нет,последовательность действий,последовательность действий,as,-,"[(te), (2)]",
5-36-24,書いているうちに色が変わるインクを見つけて、ハリーはちょっと元気が出た,"[Гарри] нашёл чернила, меняющие цвет, когда ими пишешь [te], немного повеселел.",Harry cheered up a bit when he found a bottle of ink that changed colour as you wrote.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,причинность,последовательность действий,when,-,"[(te), (2)]",
5-36-35,俺の知ってる最高の魔法使いの中には、長いことマグルの家系が続いて、急にその子だけが魔法の力を持ったという者もおるぞ,"Среди лучших волшебников, которых я знаю, есть и такие, которые происходят из семей потомственных маглов [te], вдруг они единственные дети, которые обладают магической силой…","Anyway, what does he know about it, some o’ the best I ever saw were the only ones with magic in ’em in a long line o’ Muggles – look at yer mum! Look what she had fer a sister!",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,фон-фигура,-,-,-,"[(2 te), (3)]",
5-36-41(1),箒に乗って空中でゲームをやる。ボールは四つあって……ルールを説明するのはちと難しいなあ」,"[Игроки], повиснув [te] в воздухе, играют в игру. Мячей четыре [te]… Объяснять правила довольно сложно.",played up in the air on broomsticks and there’s four balls – sorta hard ter explain the rules.’,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,да,образ действия,образ действия,тире,-,"[2 (te), (0)]",
5-36-41(2),箒に乗って空中でゲームをやる。ボールは四つあって……ルールを説明するのはちと難しいなあ」,"[Игроки], повиснув [te] в воздухе, играют в игру. Мячей четыре [te]… Объяснять правила довольно сложно.",played up in the air on broomsticks and there’s four balls – sorta hard ter explain the rules.’,нет,нет,нет,нет,да,нет,нет,нет,1,ТЭ,да,дискурсивный обрыв,дискурсивный обрыв,точка,-,"[2 (te), (0)]",
5-37-9,ハグリッドは「リストに錫の鍋と書いてあるだろが」と言って純金の大鍋も買わせてくれなかった。,"Хагрид, сказав [te] “В списке указан жестяной котёл”, не позволил купить золотой котёл.","Hagrid wouldn’t let Harry buy a solid gold cauldron, either (‘It says pewter on yer list’)",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,скобки,-,"[2 (te), (0)]",
5-37-19,薬問屋から出て、ハグリッドはもう一度ハリーのリストを調べた,"Выйдя из аптеки [te], Хагрид ещё раз изучил список Гарри.","Outside the apothecary’s, Hagrid checked Harry’s list again.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,-,prep,-,"[(te), (2)]",
5-37-29,イ一口ップふくろう百貨店は、暗くてバタバタと羽音がし、宝石のように輝く目があちらこちらでパチクリしていた。,"В магазине “Филин” было темно [te], раздавались [i] звуки хлопающих крыльев и были мигающие тут и там, как драгоценности, глаза.","Twenty minutes later, they left Eeylops Owl Emporium, which had been dark and full of rustling and flickering, jewel-bright eyes.",нет,да,нет,нет,нет,да,нет,нет,2,"ТЭ, И",нет,перечисление характеристик,перечисление характеристик,and,-,"[2 (te), (0)]",
5-37-39,小さな店内に古くさい椅子が一つだけ置かれていて、ハグリッドはそれに腰掛けて待った。,"‘Внутри маленького магазина был размещён только один старомодный стул [te], Хагрид, усевшись на него, стал ждать.’","It was a tiny place, empty except for a single spindly chair which Hagrid sat on to wait.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,фон-фигура,фон-фигура,which,-,"[(3 te), (2)]",
5-37-40,ハリーは、新たに湧いてきたたくさんの質問をグッとのみ込んで、天井近くまで整然と積み重ねられた何千という細長い箱の山を見ていた,"Гарри резко проглотил множество хлынувших к нему новых вопросов [te], смотрел на горы из нескольких тысяч вытянутых коробок, аккуратно сложенных почти до потолка.",Harry felt strangely as though he had entered a very strict library; he swallowed a lot of new questions which had just occurred to him and looked instead at the thousands of narrow boxes piled neatly right up to the ceiling,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
5-37-45(1),古い椅子がバキバキと大きな音をたて、ハグリッドはあわてて華奢な椅子から立ち上がった,"Стул издал громкий треск [te], Хагрид, торопившись [te], подскочил с хрупкого стула.","Hagrid must have jumped, too, because there was a loud crunching noise and he got quickly off the spindly chair.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,причинность,фон-фигура,and,-,"[(3 te), (2)]",в англ зависимые
5-37-45(2),古い椅子がバキバキと大きな音をたて、ハグリッドはあわてて華奢な椅子から立ち上がった,"Стул издал громкий треск [te], Хагрид, торопившись [te], подскочил с хрупкого стула.","Hagrid must have jumped, too, because there was a loud crunching noise and he got quickly off the spindly chair.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,adv,-,"[3 (te), (0)]",
5-38-1,あの子がここに来て、最初の杖を買っていったのがほんの昨日のことのようじゃ,"Та девочка пришла сюда [te], купила [свою] первую палочку – кажется, будто это было только вчера.","It seems only yesterday she was in here herself, buying her first wand.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,да,последовательность действий,образ действия,ing,-,"[3 (te), (0)]",зависимые клаузы
5-38-2,柳の木でできていて、振りやすい、妖精の呪文にはぴったりの杖じゃった,"Сделана из дерева [te], легко гнущаяся, идеальная палочка для заклинаний волшебницы.","Ten and a quarter inches long, swishy, made of willow. Nice wand for charm work.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,да,перечисление характеристик,перечисление характеристик,запятая,-,"[2 (te), (0)]",
5-38-7,どれより力があって変身術には最高じゃ。,"Имеет [te] больше силы, самый лучший для трансформации.",A little more power and excellent for transfiguration.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,да,перечисление характеристик,перечисление характеристик,and,-,"[2 (te), (0)]",
5-38-15,そう、もしあの杖が世の中に出て、何をするのかわしが知っておればのう,"Очень сильная [волшебная палочка], но в руках не того человека…  Да, что, выйдя в мир [te], сделает эта палочка – если бы я [только] знал…’","Well, if I’d known what that wand was going out into the world to do",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,да,последовательность действий,-,to,-,"[(3 te), (3)]",???
5-38-18,「ルビウス！ルビウス・ハグリッドじゃないか！また会えて嬉しいよ……四十一センチの樫の木。よく曲がる。そうじゃったな」,"“Рубеус! Рубеус Хагрид, не так ли! Ещё раз встретились [te], очень рад…  16-дюймовая, дуб. Очень гибкая. Не так ли?”","‘Rubeus! Rubeus Hagrid! How nice to see you again … Oak, sixteen inches, rather bendy, wasn’t it?’",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,да,причинность,причинность,to,-,"[2 (te), (0)]",
5-38-43,オリバンダー老人は棚の間を飛び回って、箱を取り出していた,"Мистер Олливандер порхал между полок [te], доставал коробки."," Mr Ollivander was flitting around the shelves, taking down boxes.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,ing,-,"[2 (te), (0)]",
5-38-45,「もうよい」と言うと、巻尺は床の上に落ちて、クシャクシャと丸まった,"Когда [Олливандер] сказал “Уже хватит”, рулетка упала на пол [te], свернулась.","‘That will do,’ he said, and the tape measure crumpled into a heap on the floor.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,-,prep,-,"[2 (te), (0)]",???
5-38-47,手に取って、振ってごらんなさい,"Возьмите в руку [te], попробуйте взмахнуть",Just take it and give it a wave.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,да,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
5-39-30,杖の代金に七ガリオンを支払い、オリバンダー老人のお辞儀に送られて二人は店を出た。,"Заплатив [i] за палочку семь галлеонов и получив [te] поклон от старика Олливандера, они вышли из магазина.",He paid seven gold Galleons for his wand and Mr Ollivander bowed them from his shop.,нет,да,нет,нет,нет,да,нет,нет,2,"И, ТЭ",нет,образ действия,образ действия,prep,-,"[(te), (2)]",
5-39-31,ハリーとハグリッドはダイアゴン横丁を、元来た道へと歩き、壁を抜けて、もう人気のなくなった「漏れ鍋」に戻った,"Гарри и Хагрид прошли по Косому переулку той же дорогой, которой пришли [i], прошли через стену [te], вернулись в Дырявый котёл, где уже не было людей.","The late-afternoon sun hung low in the sky as Harry and Hagrid made their way back down Diagon Alley, back through the wall, back through the Leaky Cauldron, now empty",нет,нет,нет,да,нет,да,нет,нет,2,"И, ТЭ",нет,последовательность действий,последовательность действий,повтор,-,"[2 (te), (0)]",
5-39-34,ハグリッドに肩を叩かれて、ハリーはやっと自分がどこにいるのかに気づいた,"Гарри был похлопан Хагридом по плечу [te] и наконец понял, где он находится.",Harry only realised where they were when Hagrid tapped him on the shoulder.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,причинность,фон-фигура,when,-,"[(te), (2)]",
5-39-40,ハグリッドはハリーにハンバーガーを買ってやり、二人はプラスチックの椅子に座って食べた。,"Хагрид купил [i] Гарри гамбургер, и они вдвоём уселись [te] на пластиковые стулья, чтобы поесть.",He bought Harry a hamburger and they sat down on plastic seats to eat them.,нет,да,нет,нет,нет,да,нет,нет,2,"И, ТЭ",нет,причинность,причинность,to,-,"[2 (te), (0)]",
